UDI,Timestamp,Product ID,Type of Failure,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
51,29:19.6,M20014,M,299.0,310.1,1669,26.5,174,0,0,0,0,0,0
52,36:19.6,L60029,L,301.6,311.5,1239,48.7,105,0,0,0,0,0,0
53,36:19.6,L60030,L,301.7,312.1,1414,58.0,34,0,0,0,0,0,0
54,50:19.6,L60031,L,303.2,314.3,1588,35.2,216,1,1,0,0,0,0
55,48:19.6,L60032,L,296.2,307.4,1563,47.8,119,0,0,0,0,0,0
56,54:19.6,L60033,L,303.3,313.4,1605,43.6,234,1,1,0,0,0,0
57,55:19.6,L60034,L,303.5,313.1,1862,45.1,84,0,0,0,0,0,0
58,32:19.6,L60035,L,301.2,311.0,1652,44.5,177,0,0,0,0,0,0
59,33:19.6,L60036,L,295.9,306.5,1623,57.1,166,0,0,0,0,0,0
60,15:19.6,H35010,H,295.4,305.9,1587,52.1,80,0,0,0,0,0,0
61,50:19.6,M20015,M,300.3,310.5,1444,29.1,39,0,0,0,0,0,0
62,13:19.6,L60037,L,304.2,314.2,1568,39.7,95,0,0,0,0,0,0
63,25:19.6,L60038,L,303.0,313.1,1608,21.3,48,0,0,0,0,0,0
64,01:19.6,L60039,L,298.8,308.8,1796,45.9,17,0,0,0,0,0,0
65,24:19.6,H35011,H,296.4,306.1,1771,42.5,65,0,0,0,0,0,0
66,59:19.6,L60040,L,303.8,313.9,2022,40.3,89,0,0,0,0,0,0
67,48:19.6,L60041,L,301.6,311.3,1565,39.9,55,0,0,0,0,0,0
68,16:19.6,H35012,H,301.5,312.1,1568,46.2,52,0,0,0,0,0,0
69,56:19.6,L60042,L,296.0,305.7,1751,39.0,179,0,0,0,0,0,0
70,39:19.6,L60043,L,296.9,307.8,1665,47.7,137,0,0,0,0,0,0
71,45:19.6,L60044,L,296.1,306.6,1473,48.7,152,0,0,0,0,0,0
72,23:19.6,L60045,L,298.9,310.1,1437,46.2,135,0,0,0,0,0,0
73,57:19.6,M20016,M,301.6,312.9,1654,52.6,161,0,0,0,0,0,0
74,57:19.6,M20017,M,300.3,310.9,1537,30.8,36,0,0,0,0,0,0
75,04:19.6,M20018,M,296.1,306.3,1606,43.0,7,0,0,0,0,0,0
76,45:19.6,L60046,L,304.0,314.3,1639,50.9,181,0,0,0,0,0,0
77,57:19.6,L60047,L,297.5,307.1,1187,36.8,117,0,0,0,0,0,0
78,40:19.6,L60048,L,299.6,309.1,1266,34.4,214,1,1,0,0,0,0
79,32:19.6,M20019,M,302.4,312.7,1479,27.7,166,0,0,0,0,0,0
80,54:19.6,M20020,M,304.5,315.2,1426,34.0,171,0,0,0,0,0,0
81,15:19.6,M20021,M,298.8,308.6,1412,47.5,123,0,0,0,0,0,0
82,19:19.6,L60049,L,299.2,309.4,1329,47.1,186,0,0,0,0,0,0
83,10:19.6,L60050,L,300.3,310.1,1772,33.1,32,0,0,0,0,0,0
84,08:19.6,L60051,L,300.4,311.5,1422,60.7,168,0,0,0,0,0,0
85,29:19.6,M20022,M,296.7,307.9,1557,46.1,147,0,0,0,0,0,0
86,54:19.6,M20023,M,297.0,307.2,1503,44.1,10,0,0,0,0,0,0
87,16:19.6,H35013,H,300.0,309.6,1499,48.2,79,0,0,0,0,0,0
88,28:19.6,M20024,M,297.1,308.4,1463,32.2,118,0,0,0,0,0,0
89,01:19.6,L60052,L,299.1,309.5,1448,40.4,91,0,0,0,0,0,0
90,02:19.6,L60053,L,298.5,309.9,1589,35.0,155,0,0,0,0,0,0
91,04:19.6,L60054,L,298.3,308.3,1391,44.4,105,0,0,0,0,0,0
92,38:19.6,L60055,L,303.4,314.1,1631,34.0,119,0,0,0,0,0,0
93,03:19.6,H35014,H,303.7,313.4,1820,45.4,100,0,0,0,0,0,0
94,25:19.6,L60056,L,298.6,309.3,1218,40.6,73,0,0,0,0,0,0
95,25:19.6,L60057,L,302.7,314.0,1168,50.1,171,0,0,0,0,0,0
96,16:19.6,M20025,M,301.7,312.1,1739,34.1,30,0,0,0,0,0,0
97,50:19.6,L60058,L,303.8,315.2,1273,54.2,122,0,0,0,0,0,0
98,47:19.6,H35015,H,299.6,310.2,1740,43.7,11,0,0,0,0,0,0
99,33:19.6,L60059,L,296.7,306.9,1418,38.4,51,0,0,0,0,0,0
100,21:19.6,L60060,L,297.8,308.0,1265,54.6,83,0,0,0,0,0,0
101,36:19.6,L60061,L,296.6,306.1,1779,33.9,111,0,0,0,0,0,0
102,14:19.6,L60062,L,301.5,312.6,1851,46.5,150,0,0,0,0,0,0
103,36:19.6,M20026,M,301.2,310.9,1605,32.0,222,1,1,0,0,0,0
104,49:19.6,M20027,M,300.1,311.3,1486,43.2,40,0,0,0,0,0,0
105,49:19.6,M20028,M,303.2,313.0,1479,32.9,217,1,1,0,0,0,0
106,24:19.6,L60063,L,302.6,312.2,1332,40.8,123,0,0,0,0,0,0
107,43:19.6,L60064,L,300.8,311.5,1283,33.8,67,0,0,0,0,0,0
108,55:19.6,M20029,M,303.7,314.2,1332,30.5,147,0,0,0,0,0,0
109,41:19.6,M20030,M,301.0,311.8,1570,38.8,80,0,0,0,0,0,0
110,19:19.6,M20031,M,297.1,307.9,1486,46.0,78,0,0,0,0,0,0
111,58:19.6,M20032,M,304.2,315.0,1679,42.6,80,0,0,0,0,0,0
112,00:19.6,M20033,M,295.7,306.1,1724,32.7,99,0,0,0,0,0,0
113,45:19.6,L60065,L,304.3,314.9,1721,37.9,99,0,0,0,0,0,0
114,47:19.6,L60066,L,303.8,313.5,1220,34.4,150,0,0,0,0,0,0
115,13:19.6,L60067,L,300.0,310.6,1830,48.5,228,1,1,0,0,0,0
116,40:19.6,L60068,L,303.4,314.1,1424,46.0,15,0,0,0,0,0,0
117,00:19.6,M20034,M,295.4,306.2,1660,27.4,230,1,1,0,0,0,0
118,05:19.6,L60069,L,304.2,313.9,1611,25.4,18,0,0,0,0,0,0
119,41:19.6,L60070,L,299.4,310.7,1727,48.1,71,0,0,0,0,0,0
120,30:19.6,M20035,M,302.9,313.9,2001,43.8,103,0,0,0,0,0,0
121,57:19.6,H35016,H,304.3,315.1,1292,25.7,248,1,1,0,0,0,0
122,51:19.6,L60071,L,298.7,308.6,1574,30.9,118,0,0,0,0,0,0
123,53:19.6,L60072,L,304.1,313.7,1459,41.3,33,0,0,0,0,0,0
124,21:19.6,L60073,L,300.4,311.1,1462,38.7,125,0,0,0,0,0,0
125,56:19.6,M20036,M,297.5,307.3,1580,45.1,18,0,0,0,0,0,0
126,07:19.6,L60074,L,300.6,310.6,1287,25.4,34,0,0,0,0,0,0
127,09:19.6,L60075,L,301.1,312.3,1699,34.2,212,1,1,0,0,0,0
128,39:19.6,L60076,L,299.6,309.2,1848,44.1,224,1,1,0,0,0,0
129,46:19.6,M20037,M,304.0,314.2,1854,49.8,46,0,0,0,0,0,0
130,27:19.6,M20038,M,300.8,312.2,1168,57.4,244,1,1,0,0,0,0
131,00:19.6,L60077,L,302.2,311.8,1205,37.5,7,0,0,0,0,0,0
132,51:19.6,L60078,L,300.6,311.1,1866,35.1,128,0,0,0,0,0,0
133,38:19.6,L60079,L,297.4,308.0,1616,51.8,24,0,0,0,0,0,0
134,46:19.6,L60080,L,301.3,312.4,1687,42.2,123,0,0,0,0,0,0
135,36:19.6,L60081,L,295.5,306.3,1511,36.0,243,1,1,0,0,0,0
136,28:19.6,L60082,L,297.3,308.7,1363,39.4,89,0,0,0,0,0,0
137,10:19.6,L60083,L,302.3,313.8,2043,31.5,205,1,1,0,0,0,0
138,14:19.6,L60084,L,300.2,311.2,1452,49.0,46,0,0,0,0,0,0
139,28:19.6,L60085,L,302.9,313.7,1811,43.4,119,0,0,0,0,0,0
140,27:19.6,L60086,L,301.1,312.3,1766,32.2,125,0,0,0,0,0,0
141,38:19.6,L60087,L,298.5,308.5,1380,19.7,6,0,0,0,0,0,0
142,26:19.6,L60088,L,301.4,311.9,1676,45.6,13,0,0,0,0,0,0
143,00:19.6,L60089,L,299.8,310.2,1514,41.1,103,0,0,0,0,0,0
144,00:19.6,L60090,L,296.1,306.1,1460,45.0,149,0,0,0,0,0,0
145,33:19.6,L60091,L,301.4,312.0,1831,38.2,42,0,0,0,0,0,0
146,05:19.6,L60092,L,296.7,307.6,1816,35.3,7,0,0,0,0,0,0
147,13:19.6,H35017,H,296.1,306.0,1436,42.1,200,1,1,0,0,0,0
148,21:19.6,L60093,L,300.7,312.0,1686,40.1,8,0,0,0,0,0,0
149,11:19.6,M20039,M,302.2,312.6,1575,34.4,78,0,0,0,0,0,0
150,37:19.6,L60094,L,301.5,312.5,1270,53.3,34,0,0,0,0,0,0
151,29:19.6,L60095,L,298.4,309.2,1323,40.7,236,1,1,0,0,0,0
152,48:19.6,L60096,L,296.0,306.9,1555,30.1,46,0,0,0,0,0,0
153,41:19.6,M20040,M,303.9,314.7,1207,42.5,44,0,0,0,0,0,0
154,13:19.6,M20041,M,295.9,307.3,1338,40.9,62,0,0,0,0,0,0
155,59:19.6,M20042,M,302.9,313.0,1818,40.8,69,0,0,0,0,0,0
156,55:19.6,L60097,L,299.8,311.0,1538,56.1,162,0,0,0,0,0,0
157,33:19.6,L60098,L,297.8,308.7,1204,37.2,23,0,0,0,0,0,0
158,40:19.6,H35018,H,300.2,311.1,1488,27.6,116,0,0,0,0,0,0
159,21:19.6,M20043,M,302.2,312.8,1319,25.8,48,0,0,0,0,0,0
160,19:19.6,M20044,M,302.8,313.0,1628,53.6,67,0,0,0,0,0,0
161,36:19.6,L60099,L,300.0,311.4,1233,38.9,169,0,0,0,0,0,0
162,11:19.6,M20045,M,303.7,314.5,1479,42.8,50,0,0,0,0,0,0
163,07:19.6,L60100,L,300.1,311.3,1586,37.9,205,1,1,0,0,0,0
164,38:19.6,L60101,L,295.3,306.5,1716,31.8,43,0,0,0,0,0,0
165,47:19.6,L60102,L,297.7,308.8,1377,34.3,25,0,0,0,0,0,0
166,09:19.6,L60103,L,299.7,309.5,1375,29.3,163,0,0,0,0,0,0
167,29:19.6,M20046,M,299.7,310.7,1700,55.8,118,0,0,0,0,0,0
168,54:19.6,L60104,L,303.7,315.2,1504,32.2,54,0,0,0,0,0,0
169,49:19.6,L60105,L,302.5,312.5,1555,34.0,48,0,0,0,0,0,0
170,13:19.6,M20047,M,296.6,306.9,2064,51.4,10,0,0,0,0,0,0
171,17:19.6,L60106,L,297.7,309.2,1497,23.5,134,0,0,0,0,0,0
172,06:19.6,M20048,M,303.4,313.3,1513,34.7,79,0,0,0,0,0,0
173,41:19.6,M20049,M,303.1,313.6,1697,37.8,179,0,0,0,0,0,0
174,44:19.6,L60107,L,295.7,305.4,1550,40.3,32,0,0,0,0,0,0
175,10:19.6,H35019,H,303.9,315.0,1663,40.2,70,0,0,0,0,0,0
176,10:19.6,L60108,L,300.6,312.0,1564,47.8,6,0,0,0,0,0,0
177,27:19.6,M20050,M,296.0,305.7,1374,27.4,186,0,0,0,0,0,0
178,23:19.6,H35020,H,301.8,312.0,1691,38.0,59,0,0,0,0,0,0
179,58:19.6,M20051,M,297.3,308.0,1656,39.9,102,0,0,0,0,0,0
180,25:19.6,L60109,L,299.6,310.4,1678,25.5,7,0,0,0,0,0,0
181,43:19.6,L60110,L,298.1,309.0,1450,61.7,122,0,0,0,0,0,0
182,11:19.6,L60111,L,301.6,312.0,1720,45.5,126,0,0,0,0,0,0
183,43:19.6,H35021,H,298.0,308.5,1612,33.8,153,0,0,0,0,0,0
184,15:19.6,L60112,L,303.9,315.1,1561,46.7,165,0,0,0,0,0,0
185,31:19.6,H35022,H,299.0,309.6,1423,46.1,165,0,0,0,0,0,0
186,09:19.6,L60113,L,302.6,312.3,1603,33.3,130,0,0,0,0,0,0
187,38:19.6,L60114,L,295.5,305.6,1485,43.7,113,0,0,0,0,0,0
188,46:19.6,L60115,L,303.0,313.0,1649,34.1,53,0,0,0,0,0,0
189,27:19.6,L60116,L,295.6,306.3,1416,40.2,43,0,0,0,0,0,0
190,53:19.6,M20052,M,301.4,311.5,1557,38.1,83,0,0,0,0,0,0
191,33:19.6,L60117,L,297.5,308.3,1618,39.3,122,0,0,0,0,0,0
192,40:19.6,L60118,L,300.4,310.7,1388,52.6,46,0,0,0,0,0,0
193,28:19.6,L60119,L,296.5,306.7,1570,33.4,157,0,0,0,0,0,0
194,35:19.6,L60120,L,296.7,306.6,1701,45.4,27,0,0,0,0,0,0
195,46:19.6,L60121,L,304.2,315.0,1545,37.7,10,0,0,0,0,0,0
196,12:19.6,M20053,M,297.0,306.5,1585,34.3,72,0,0,0,0,0,0
197,00:19.6,L60122,L,295.3,305.7,1843,46.8,158,0,0,0,0,0,0
198,20:19.6,L60123,L,303.5,314.3,1596,56.1,39,0,0,0,0,0,0
199,20:19.6,L60124,L,301.5,311.4,1461,28.6,158,0,0,0,0,0,0
200,35:19.6,L60125,L,300.2,310.5,1456,32.3,141,0,0,0,0,0,0
201,28:19.6,L60126,L,302.9,313.4,1615,25.0,7,0,0,0,0,0,0
202,00:19.6,L60127,L,297.2,307.6,1551,39.5,119,0,0,0,0,0,0
203,59:19.6,M20054,M,298.4,309.1,1387,48.7,71,0,0,0,0,0,0
204,58:19.6,M20055,M,299.6,310.7,1729,26.2,190,0,0,0,0,0,0
205,59:19.6,L60128,L,300.0,311.1,1663,38.9,171,0,0,0,0,0,0
206,33:19.6,L60129,L,304.2,315.2,1515,27.2,34,0,0,0,0,0,0
207,08:19.6,L60130,L,303.5,313.7,1324,24.4,137,0,0,0,0,0,0
208,44:19.6,L60131,L,298.6,309.5,1459,33.3,151,0,0,0,0,0,0
209,06:19.6,M20056,M,300.0,310.0,1663,46.2,87,0,0,0,0,0,0
210,33:19.6,L60132,L,298.3,308.0,1480,37.8,144,0,0,0,0,0,0
211,27:19.6,L60133,L,299.9,309.8,1588,49.7,27,0,0,0,0,0,0
212,54:19.6,H35023,H,303.2,313.6,1840,41.0,80,0,0,0,0,0,0
213,15:19.6,L60134,L,296.2,305.9,1417,26.3,33,0,0,0,0,0,0
214,21:19.6,L60135,L,299.5,310.8,1385,58.9,164,0,0,0,0,0,0
215,42:19.6,L60136,L,302.7,313.9,1536,30.8,79,0,0,0,0,0,0
216,49:19.6,L60137,L,300.4,311.2,1570,41.5,188,0,0,0,0,0,0
217,37:19.6,L60138,L,302.6,313.8,1241,31.7,139,0,0,0,0,0,0
218,25:19.6,L60139,L,296.0,305.8,1699,29.7,42,0,0,0,0,0,0
219,33:19.6,M20057,M,296.9,306.6,1337,47.0,26,0,0,0,0,0,0
220,40:19.6,M20058,M,299.0,310.0,1348,25.5,67,0,0,0,0,0,0
221,03:19.6,L60140,L,299.7,309.4,1445,51.5,62,0,0,0,0,0,0
222,19:19.6,M20059,M,304.2,315.3,1487,38.7,137,0,0,0,0,0,0
223,53:19.6,L60141,L,301.5,311.9,1696,32.0,159,0,0,0,0,0,0
224,59:19.6,M20060,M,302.6,312.4,1404,37.9,37,0,0,0,0,0,0
225,59:19.6,M20061,M,304.2,315.2,1340,40.4,160,0,0,0,0,0,0
226,00:19.6,M20062,M,299.7,309.9,1168,31.9,24,0,0,0,0,0,0
227,54:19.6,L60142,L,300.3,310.3,2023,42.7,113,0,0,0,0,0,0
228,00:19.6,H35024,H,303.5,314.1,1639,49.4,176,0,0,0,0,0,0
229,38:19.6,L60143,L,297.0,307.6,1631,55.1,180,0,0,0,0,0,0
230,22:19.6,M20063,M,302.7,313.5,1621,52.7,45,0,0,0,0,0,0
231,21:19.6,L60144,L,299.3,310.4,1456,34.3,32,0,0,0,0,0,0
232,49:19.6,L60145,L,303.5,314.5,1327,43.0,9,0,0,0,0,0,0
233,23:19.6,M20064,M,304.2,313.9,1493,22.4,52,0,0,0,0,0,0
234,07:19.6,L60146,L,302.4,312.1,1535,32.6,85,0,0,0,0,0,0
235,44:19.6,L60147,L,303.6,314.3,1538,44.6,18,0,0,0,0,0,0
236,37:19.6,M20065,M,295.8,306.1,1658,44.6,37,0,0,0,0,0,0
237,28:19.6,L60148,L,301.5,312.5,1560,30.2,181,0,0,0,0,0,0
238,17:19.6,M20066,M,299.2,308.9,1618,35.3,69,0,0,0,0,0,0
239,54:19.6,M20067,M,298.5,309.3,1712,46.7,110,0,0,0,0,0,0
240,30:19.6,M20068,M,299.7,311.0,1498,34.1,57,0,0,0,0,0,0
241,24:19.6,L60149,L,300.5,311.2,1537,61.9,139,0,0,0,0,0,0
242,21:19.6,L60150,L,304.0,313.6,1615,25.8,50,0,0,0,0,0,0
243,35:19.6,H35025,H,304.2,315.4,1489,49.9,188,0,0,0,0,0,0
244,14:19.6,M20069,M,296.9,307.8,1310,43.8,120,0,0,0,0,0,0
245,06:19.6,H35026,H,302.8,312.6,1400,43.8,171,0,0,0,0,0,0
246,29:19.6,L60151,L,304.2,315.2,1710,54.4,172,0,0,0,0,0,0
247,39:19.6,M20070,M,297.8,307.3,1813,31.2,242,1,1,0,0,0,0
248,05:19.6,M20071,M,296.8,306.7,1523,35.1,98,0,0,0,0,0,0
249,07:19.6,L60152,L,296.7,307.3,1528,33.1,32,0,0,0,0,0,0
250,11:19.6,M20072,M,299.4,309.0,1527,37.5,64,0,0,0,0,0,0
251,18:19.6,M20073,M,300.2,311.2,1582,35.2,160,0,0,0,0,0,0
252,31:19.6,H35027,H,300.0,311.1,1645,40.7,205,1,1,0,0,0,0
253,37:19.6,L60153,L,298.4,309.0,1808,46.8,146,0,0,0,0,0,0
254,15:19.6,L60154,L,297.2,308.6,1482,46.3,15,0,0,0,0,0,0
255,45:19.6,L60155,L,297.2,307.1,1489,48.9,85,0,0,0,0,0,0
256,07:19.6,L60156,L,302.2,312.2,1212,30.8,142,0,0,0,0,0,0
257,26:19.6,M20074,M,304.2,314.0,1450,32.4,35,0,0,0,0,0,0
258,34:19.6,L60157,L,304.2,313.8,1864,31.2,95,0,0,0,0,0,0
259,06:19.6,L60158,L,300.9,310.6,1769,36.2,178,0,0,0,0,0,0
260,09:19.6,M20075,M,299.1,308.9,1574,36.7,16,0,0,0,0,0,0
261,44:19.6,L60159,L,303.0,312.9,1307,21.3,106,0,0,0,0,0,0
262,54:19.6,L60160,L,296.4,306.6,1464,37.5,57,0,0,0,0,0,0
263,52:19.6,H35028,H,299.3,309.3,1881,41.4,118,0,0,0,0,0,0
264,12:19.6,L60161,L,300.6,311.7,1721,36.6,227,1,1,0,0,0,0
265,51:19.6,M20076,M,295.8,305.3,1598,41.3,206,1,1,0,0,0,0
266,36:19.6,M20077,M,295.8,307.2,1407,27.0,203,1,1,0,0,0,0
267,00:19.6,L60162,L,297.5,307.1,1457,34.7,26,0,0,0,0,0,0
268,23:19.6,L60163,L,300.6,311.1,1501,46.6,164,0,0,0,0,0,0
269,53:19.6,M20078,M,296.7,306.9,1176,36.4,73,0,0,0,0,0,0
270,21:19.6,L60164,L,303.2,313.6,1398,40.9,194,0,0,0,0,0,0
271,02:19.6,M20079,M,296.1,307.6,1433,36.5,146,0,0,0,0,0,0
272,59:19.6,H35029,H,300.4,310.7,1589,40.7,175,0,0,0,0,0,0
273,57:19.6,M20080,M,299.7,310.9,1461,22.3,50,0,0,0,0,0,0
274,43:19.6,M20081,M,303.2,314.4,1736,35.6,94,0,0,0,0,0,0
275,10:19.6,M20082,M,295.3,306.3,1573,30.4,188,0,0,0,0,0,0
276,22:19.6,L60165,L,295.6,306.8,1627,44.7,189,0,0,0,0,0,0
277,47:19.6,M20083,M,298.4,308.5,1718,26.0,0,0,0,0,0,0,0
278,44:19.6,M20084,M,301.6,311.5,1424,44.5,177,0,0,0,0,0,0
279,51:19.6,H35030,H,299.6,310.4,1774,24.9,47,0,0,0,0,0,0
280,39:19.6,H35031,H,301.1,310.6,1412,37.8,132,0,0,0,0,0,0
281,26:19.6,M20085,M,297.6,309.0,1721,31.7,224,1,1,0,0,0,0
282,02:19.6,M20086,M,298.4,308.1,1400,28.5,14,0,0,0,0,0,0
283,04:19.6,L60166,L,301.5,311.4,1438,18.7,133,0,0,0,0,0,0
284,30:19.6,L60167,L,303.7,314.7,1251,62.3,120,0,0,0,0,0,0
285,04:19.6,M20087,M,302.3,312.4,1533,34.3,218,1,1,0,0,0,0
286,33:19.6,L60168,L,299.2,308.7,1863,40.9,145,0,0,0,0,0,0
287,12:19.6,M20088,M,299.2,309.0,1668,39.6,51,0,0,0,0,0,0
288,17:19.6,M20089,M,302.9,312.7,1616,57.5,144,0,0,0,0,0,0
289,03:19.6,M20090,M,296.9,308.2,1606,32.0,151,0,0,0,0,0,0
290,29:19.6,L60169,L,296.4,306.7,1276,54.7,82,0,0,0,0,0,0
291,30:19.6,L60170,L,295.7,306.0,1385,51.6,115,0,0,0,0,0,0
292,02:19.6,M20091,M,296.6,306.2,2083,38.5,175,0,0,0,0,0,0
293,04:19.6,L60171,L,300.1,311.5,1373,28.6,58,0,0,0,0,0,0
294,54:19.6,M20092,M,302.8,313.2,1450,41.7,9,0,0,0,0,0,0
295,36:19.6,L60172,L,301.9,312.0,1357,43.3,172,0,0,0,0,0,0
296,18:19.6,M20093,M,301.6,311.8,1641,39.9,43,0,0,0,0,0,0
297,16:19.6,M20094,M,297.0,307.9,1570,37.6,127,0,0,0,0,0,0
298,12:19.6,L60173,L,295.8,305.7,1363,35.5,53,0,0,0,0,0,0
299,42:19.6,M20095,M,295.6,306.3,1360,47.4,41,0,0,0,0,0,0
300,23:19.6,L60174,L,296.0,306.8,1409,35.6,101,0,0,0,0,0,0
301,06:19.6,M20096,M,304.0,314.6,1686,33.9,46,0,0,0,0,0,0
302,26:19.6,L60175,L,300.9,310.7,1626,41.0,7,0,0,0,0,0,0
303,52:19.6,L60176,L,299.7,309.5,1585,48.5,213,1,1,0,0,0,0
304,44:19.6,M20097,M,298.3,308.6,1845,37.2,3,0,0,0,0,0,0
305,00:19.6,L60177,L,301.9,311.8,1867,37.6,48,0,0,0,0,0,0
306,44:19.6,H35032,H,299.6,310.1,1370,29.5,181,0,0,0,0,0,0
307,02:19.6,L60178,L,302.8,314.2,1406,34.8,34,0,0,0,0,0,0
308,49:19.6,L60179,L,297.1,308.4,1804,39.5,96,0,0,0,0,0,0
309,28:19.6,M20098,M,296.5,307.5,1493,43.7,59,0,0,0,0,0,0
310,02:19.6,L60180,L,295.9,306.5,1445,52.9,152,0,0,0,0,0,0
311,16:19.6,L60181,L,304.2,315.6,1868,32.0,17,0,0,0,0,0,0
312,29:19.6,L60182,L,303.2,312.9,1372,40.3,58,0,0,0,0,0,0
313,38:19.6,L60183,L,302.6,313.5,1389,44.3,40,0,0,0,0,0,0
314,46:19.6,L60184,L,303.3,313.0,1291,50.7,35,0,0,0,0,0,0
315,23:19.6,M20099,M,299.9,309.4,1692,43.8,102,0,0,0,0,0,0
316,02:19.6,L60185,L,296.2,306.2,1445,30.7,8,0,0,0,0,0,0
317,13:19.6,M20100,M,297.9,309.0,1517,45.6,18,0,0,0,0,0,0
318,54:19.6,L60186,L,296.8,306.5,1416,43.9,109,0,0,0,0,0,0
319,36:19.6,M20101,M,297.7,307.5,1280,45.5,61,0,0,0,0,0,0
320,55:19.6,M20102,M,298.3,308.2,1348,59.2,150,0,0,0,0,0,0
321,18:19.6,L60187,L,303.4,314.2,1728,46.8,154,0,0,0,0,0,0
